chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr18	11012	11512	intergenic|chr18:11012-11512	LOC102723376	12074		0.175915
chr18	499495	499995	genic|chr18:499495-499995	COLEC12	500729		0.174625
chr18	623850	624432	genic|chr18:623850-624432	ENOSF1	712662		0.013354
chr18	906565	907065	genic|chr18:906565-907065	ADCYAP1	905196		0.241205
chr18	3245704	3246406	intergenic|chr18:3245704-3246406	MYL12A	3247527		0.136112
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	LOC102723376	12074		0.012254
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	ADCYAP1	905196		0.010349
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	METTL4	2571502		0.010330
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	NDC80	2571509		0.010330
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	EMILIN2	2847027		0.015791
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	LOC104968399	3261828		0.010325
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	MYL12B	3262110		0.010298
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	TGIF1	3449648		0.241354
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	AKAIN1	5197255		0.012204
chr18	3447350	3448810	intergenic|chr18:3447350-3448810	EPB41L3	5544309		0.011771
chr18	3451312	3451812	genic|chr18:3451312-3451812	TGIF1	3449648		0.013444
chr18	3604504	3605004	genic|chr18:3604504-3605004	DLGAP1-AS2	3603734		0.049802
chr18	3623814	3624635	genic|chr18:3623814-3624635	ZBTB14	5296194		0.028684
chr18	7116207	7116707	genic|chr18:7116207-7116707	LAMA1	7117813		0.075089
chr18	9709191	9709898	genic|chr18:9709191-9709898	RAB31	9708227		0.119051
chr18	11840355	11840941	genic|chr18:11840355-11840941	CHMP1B	11851388		0.015004
chr18	11849900	11850400	genic|chr18:11849900-11850400	CHMP1B	11851388		0.079708
chr18	11857095	11857880	genic|chr18:11857095-11857880	CHMP1B	11851388		0.033213
chr18	12255460	12255960	genic|chr18:12255460-12255960	CIDEA	12254359		0.145333
chr18	12271612	12272336	genic|chr18:12271612-12272336	PRELID3A	12407894		0.013497
chr18	12419804	12420759	genic|chr18:12419804-12420759	APCDD1	10454624		0.015116
chr18	12419804	12420759	genic|chr18:12419804-12420759	AFG3L2	12377275		0.011536
chr18	12703592	12704092	genic|chr18:12703592-12704092	CEP76	12702776		0.040905
chr18	12703592	12704092	genic|chr18:12703592-12704092	PSMG2	12702986		0.040905
chr18	19747039	19748006	genic|chr18:19747039-19748006	GATA6-AS1	19748929		0.346462
chr18	21078707	21079401	intergenic|chr18:21078707-21079401	C18orf8	21083433		0.014447
chr18	21165380	21165880	genic|chr18:21165380-21165880	NPC1	21166581		0.040492
