chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr21	11062378	11062878	genic|chr21:11062378-11062878	BAGE2	11098925		0.050372
chr21	11062378	11062878	genic|chr21:11062378-11062878	BAGE3	11098925		0.050372
chr21	11062378	11062878	genic|chr21:11062378-11062878	BAGE4	11098925		0.050372
chr21	11062378	11062878	genic|chr21:11062378-11062878	BAGE5	11098925		0.050372
chr21	11062378	11062878	genic|chr21:11062378-11062878	BAGE	11098937		0.050372
chr21	11094363	11094863	genic|chr21:11094363-11094863	BAGE2	11098925		0.363043
chr21	11094363	11094863	genic|chr21:11094363-11094863	BAGE3	11098925		0.363043
chr21	11094363	11094863	genic|chr21:11094363-11094863	BAGE4	11098925		0.363043
chr21	11094363	11094863	genic|chr21:11094363-11094863	BAGE5	11098925		0.363043
chr21	11094363	11094863	genic|chr21:11094363-11094863	BAGE	11098937		0.363043
chr21	11109868	11111245	intergenic|chr21:11109868-11111245	BAGE2	11098925		0.141037
chr21	11109868	11111245	intergenic|chr21:11109868-11111245	BAGE3	11098925		0.141037
chr21	11109868	11111245	intergenic|chr21:11109868-11111245	BAGE4	11098925		0.141037
chr21	11109868	11111245	intergenic|chr21:11109868-11111245	BAGE5	11098925		0.141037
chr21	11109868	11111245	intergenic|chr21:11109868-11111245	BAGE	11098937		0.141037
chr21	11145079	11146308	intergenic|chr21:11145079-11146308	BAGE2	11098925		0.020755
chr21	11145079	11146308	intergenic|chr21:11145079-11146308	BAGE3	11098925		0.020755
chr21	11145079	11146308	intergenic|chr21:11145079-11146308	BAGE4	11098925		0.020755
chr21	11145079	11146308	intergenic|chr21:11145079-11146308	BAGE5	11098925		0.020755
chr21	11145079	11146308	intergenic|chr21:11145079-11146308	BAGE	11098937		0.020755
chr21	22368859	22369359	intergenic|chr21:22368859-22369359	NCAM2	22370632		0.156807
chr21	27010541	27011041	intergenic|chr21:27010541-27011041	JAM2	27011593		0.097380
chr21	30343383	30344657	genic|chr21:30343383-30344657	LTN1	30365277		0.029885
chr21	30672369	30672869	genic|chr21:30672369-30672869	BACH1	30671115		0.036266
chr21	34322728	34323852	intergenic|chr21:34322728-34323852	OLIG1	34442449		0.022105
chr21	35319848	35321411	genic|chr21:35319848-35321411	DONSON	34961014		0.055965
chr21	35319848	35321411	genic|chr21:35319848-35321411	LOC101928126	35348682		0.021656
chr21	35319848	35321411	genic|chr21:35319848-35321411	SLC5A3	35445822		0.054241
chr21	35319848	35321411	genic|chr21:35319848-35321411	MRPS6	35445822		0.054241
chr21	35343751	35344526	intergenic|chr21:35343751-35344526	LOC101928126	35348682		0.028127
chr21	35446455	35447417	genic|chr21:35446455-35447417	SLC5A3	35445822		0.083232
chr21	35446455	35447417	genic|chr21:35446455-35447417	MRPS6	35445822		0.083232
chr21	35573626	35575739	intergenic|chr21:35573626-35575739	LOC101928126	35348682		0.020025
chr21	35573626	35575739	intergenic|chr21:35573626-35575739	SLC5A3	35445822		0.073498
chr21	35573626	35575739	intergenic|chr21:35573626-35575739	MRPS6	35445822		0.073498
chr21	36258791	36259619	genic|chr21:36258791-36259619	RUNX1	36260987		0.123772
chr21	38122193	38123080	genic|chr21:38122193-38123080	SIM2	38071420		0.045197
chr21	40032351	40032851	genic|chr21:40032351-40032851	ERG	40033704		0.143637
